artistName,trackName,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,genres
Nirvana,Marigold,0,0,0,0,0,0,154280,0,0,0,0,0,None
Nirvana,Smells Like Teen Spirit - Remastered,0,0,0,0,2472,0,300893,0,0,0,0,0,None
Nirvana,Where Did You Sleep Last Night - Live,0,0,0,0,0,14186,0,2197,0,0,0,0,grunge
No Clear Mind,static,0,6013,0,0,0,0,0,263546,0,0,120814,0,instrumental post-rock
No Doubt,Don't Speak,263560,0,0,0,0,0,0,0,0,0,0,0,None
No Land,Dusunme Kaybolursun,0,0,533,301,257645,0,0,0,0,0,0,0,None
No Method,Let Me Go,0,0,11273,0,0,0,0,0,0,0,0,0,None
No Money Enterprise,German,204566,0,0,0,0,0,0,0,0,0,0,0,aussie drill
No Vacation,Waltzing Back,0,0,192000,0,0,0,0,0,0,0,0,0,None
No.1,Bu Benim Hayatim,0,0,0,0,0,0,0,0,0,0,139572,0,None
No.1,Harikalar Diyarinda II,0,0,0,0,0,0,0,0,0,0,537756,0,None
No.1,Skbr - Intro,0,0,0,0,0,2925,0,0,0,0,0,0,None
No.1,Yarim Kalan Sigara,38427,5830,0,0,0,3676,134009,4400,564651,0,36756,0,None
Noah Cyrus,July,0,0,0,0,0,0,156106,0,0,0,0,0,alt z
Noah Floersch,Ghost of Chicago,0,0,0,0,0,0,0,0,0,0,125870,0,None
Norella,Esta Noche,151764,0,0,0,0,0,0,0,0,0,0,0,None
Norm Ender,Mekanin Sahibi,0,0,0,0,0,0,185250,0,0,0,0,0,None
Norm Ender,Parla - 100. Yil Marsi,0,0,0,0,0,0,0,0,0,0,34533,0,None
Norm Ender,Sadece Dinle,0,0,0,0,0,0,0,0,0,0,1625,0,None
Norm Ender,Sus Artik,0,0,0,0,0,0,21870,0,0,0,0,0,None
Norm Ender,Sozler Serefsiz Oldu,0,0,0,0,0,0,17780,0,0,0,0,0,None
Norma Tanega,You're Dead,0,0,0,0,2321,144410,0,0,0,0,0,57237,psychedelic folk rock
Nostalgiac,Lost,0,0,0,0,0,0,0,0,5320,0,0,0,instrumental grime
Nothing But Thieves,Forever & Ever More,0,0,109150,0,0,0,0,0,0,0,0,0,None
Nothing But Thieves,Keeping You Around,0,0,0,0,0,0,431700,0,0,0,0,0,alternative pop rock
Nothing But Thieves,Phobia,0,253569,89320,1045,14268,1173,0,0,0,0,246066,1322,alternative pop rock
Nothing But Thieves,Six Billion,0,0,0,0,0,0,0,0,0,0,0,4244,None
Nothing But Thieves,Soda,0,0,0,0,0,0,0,0,0,0,0,18133,None
Nova Norda,BAS GIT,0,0,64899,0,14144,0,0,0,0,0,0,0,None
Nova Norda,Bataklik,0,0,0,0,0,0,11052,0,0,0,0,0,None
Nova Norda,Beteri Yok Uslanmaktan,0,1369,0,0,216037,1258,452778,0,0,0,0,252404,turkish alt pop
Nova Norda,Bosver!,0,0,526266,0,0,0,0,0,0,0,0,0,None
Nova Norda,Bosver! - Akustik,0,0,495605,0,486282,0,185000,0,185000,185000,6315,0,turkish alt pop
Nova Norda,Dinozorlar,0,0,18964,0,197615,0,110740,0,0,835,853,0,turkish alt pop
Nova Norda,Kuzeye Kac!,0,0,185625,0,2368,0,90060,0,0,0,1068,0,turkish alt pop
Nova Norda,Kuzeye Kac! - Akustik,0,0,195365,0,0,0,0,0,0,0,0,0,None
